cohort,target_variable,source_code,source_column
CHARLS,id,ID,ID (受访者编码)
CHARLS,wave,wave,wave (第几波调查)
CHARLS,year,iwy,iwy (调查年份)
CHARLS,age,age,age (年龄)
CHARLS,sex,ragender,ragender (性别)
CHARLS,education,raeducl,raeducl (教育统一分类)
CHARLS,marital,marry,marry (婚姻)
CHARLS,rural,hrural,hrural (居住在农村或城市)
CHARLS,self_rated_health,srh,srh (自评健康)
CHARLS,adl_score,adlab_c,adlab_c (ADL(6项有困难))
CHARLS,iadl_score,iadl,iadl (IADL(5项有困难))
CHARLS,depression_score,cesd10,"cesd10 (心理健康(30分,越大越差))"
CHARLS,depression_binary,,
CHARLS,cognition,tcog_z_z,tcog_z_z (认知/总认知能力z标准化(ref1))
CHARLS,frailty,frailtyb,frailtyb (虚弱指数b)
CHARLS,internet,social10,social10 (上网)
CHARLS,social,socwk,socwk (是否每月参与社交)
CHARLS,work,work,work (是否工作)
CHARLS,retired,retire,retire (是否退休)
ELSA,id,idauniqc,idauniqc (个人标识符)
ELSA,wave,wave,wave (第几次调查)
ELSA,year,iwindy,iwindy (受访年份)
ELSA,age,agey,agey (年龄)
ELSA,sex,ragender,ragender (性别)
ELSA,education,raeducl,raeducl (统一可比的教育程度)
ELSA,marital,mstath,mstath (婚姻状况)
ELSA,rural,,
ELSA,self_rated_health,shlt,shlt (自评健康)
ELSA,adl_score,adltot6,adltot6 (ADL总分)
ELSA,iadl_score,iadltot2_e,iadltot2_e (IADL总分)
ELSA,depression_score,cesd,cesd (CESD-8分)
ELSA,depression_binary,depressive,depressive (是否抑郁)
ELSA,cognition,tcog_z_z,tcog_z_z (总体认知能力z标准化(ref基线))
ELSA,frailty,frailty,frailty (衰弱指数)
ELSA,internet,internet,internet (是否至少每周使用互联网)
ELSA,social,group6,group6 (社交俱乐部的成员)
ELSA,work,work,work (是否从事有偿工作)
ELSA,retired,,
HRS,id,hhidpn,hhidpn (个人标识符)
HRS,wave,wave,wave (第几轮调查)
HRS,year,iwendy,iwendy (受访年份)
HRS,age,ragey_m,ragey_m (受访结束时的年龄)
HRS,sex,ragender,ragender (性别)
HRS,education,raeducl,raeducl (统一可比的教育程度)
HRS,marital,mstath,mstath (婚姻状况)
HRS,rural,rural,rural (家庭生活在城市还是农村)
HRS,self_rated_health,shlt,shlt (自评健康)
HRS,adl_score,adl6a,adl6a (ADL总分(6分))
HRS,iadl_score,iadl5a,iadl5a (IADL总分(5分))
HRS,depression_score,cesd,cesd (CESD心理健康8分(得分越高越差))
HRS,depression_binary,depressive,depressive (CESD是否抑郁)
HRS,cognition,tcog_z_z,tcog_z_z (总体认知能力z标准化(ref基线))
HRS,frailty,frailty,frailty (衰弱指数)
HRS,internet,email,email (是否使用互联网发邮件或其他目的)
HRS,social,socwk,socwk (是否每周参加任何社会活动)
HRS,work,work,work (是否在有偿工作)
HRS,retired,sayret,sayret (是否认为自己退休)
KLoSA,id,pid,pid (唯一标识符)
KLoSA,wave,wave,wave (第几轮调查)
KLoSA,year,iwy,iwy (受访年份)
KLoSA,age,agey,agey (年龄)
KLoSA,sex,ragender,ragender (性别)
KLoSA,education,raeducl,raeducl (统一可比的教育程度)
KLoSA,marital,mstath,mstath (婚姻状况)
KLoSA,rural,rural,rural (城市/农村)
KLoSA,self_rated_health,shlt,shlt (自评健康(差/非常好))
KLoSA,adl_score,,
KLoSA,iadl_score,,
KLoSA,depression_score,cesd10b,cesd10b (CESD10(分数越高越抑郁))
KLoSA,depression_binary,,
KLoSA,cognition,cog_total,cog_total (总认知得分)
KLoSA,frailty,,
KLoSA,internet,,
KLoSA,social,act2,act2 (社交俱乐部)
KLoSA,work,work,work (目前是否在领薪工作)
KLoSA,retired,,
LASI,id,prim_key,prim_key (个人标识符)
LASI,wave,,
LASI,year,r1iwy,r1iwy (受访年份)
LASI,age,r1agey,r1agey (年龄)
LASI,sex,ragender,ragender (性别)
LASI,education,raeducl,raeducl (可跨国对比的教育程度)
LASI,marital,r1mstath,r1mstath (婚姻状况)
LASI,rural,hh1rural,hh1rural (居住城市或农村)
LASI,self_rated_health,r1shlt,r1shlt (自评健康(差/非常好))
