cohort,variable,valid_n,valid_pct
CHARLS,age,96341,99.70298464213272
CHARLS,female,96621,99.99275572297884
CHARLS,education_group,96596,99.96688330504617
CHARLS,married,95539,98.87299747485201
CHARLS,rural,96628,100.0
CHARLS,rural_category,96628,100.0
CHARLS,fair_or_poor_srh,90716,93.88169060727739
CHARLS,adl_score,94603,97.90433414745209
CHARLS,iadl_score,95923,99.27039781429812
CHARLS,chronic_count,92159,95.37504657035228
CHARLS,depressive_symptoms,87755,90.81736142732956
CHARLS,cognition_z,87360,90.40857722399305
CHARLS,frailty_index,76851,79.53284762180735
CHARLS,internet_use,57051,59.04189261911661
CHARLS,social_participation,91820,95.024216583185
CHARLS,work,94876,98.18686095127707
CHARLS,healthy_aging_binary,87425,90.47584551061803
ELSA,age,90068,99.99888974008816
ELSA,female,90069,100.0
ELSA,education_group,82367,91.44877815896702
ELSA,married,90046,99.97446402202755
ELSA,rural,0,0.0
ELSA,rural_category,90069,100.0
ELSA,fair_or_poor_srh,76732,85.19246355571839
ELSA,adl_score,89840,99.74575048018741
ELSA,iadl_score,58741,65.21777748170847
ELSA,chronic_count,90051,99.98001532158678
ELSA,depressive_symptoms,44675,49.60086156169159
ELSA,cognition_z,47722,52.98382351308442
ELSA,frailty_index,26846,29.806037593400614
ELSA,internet_use,31225,34.667865747371465
ELSA,social_participation,38888,43.17578745184248
ELSA,work,90030,99.95669986343802
ELSA,healthy_aging_binary,44952,49.908403557272756
HRS,age,208674,100.0
HRS,female,208674,100.0
HRS,education_group,208632,99.97987291181461
HRS,married,208643,99.98514429205363
HRS,rural,202374,96.98093677219012
HRS,rural_category,208674,100.0
HRS,fair_or_poor_srh,208497,99.9151786997901
HRS,adl_score,208309,99.82508601934117
HRS,iadl_score,192642,92.31720290980189
HRS,chronic_count,208674,100.0
HRS,depressive_symptoms,194374,93.14720568925694
HRS,cognition_z,162986,78.10556178536856
HRS,frailty_index,208674,100.0
HRS,internet_use,182776,87.58925405177453
HRS,social_participation,46765,22.410554261671315
HRS,work,207988,99.67125755963848
HRS,healthy_aging_binary,194325,93.12372408637395
KLoSA,age,44273,100.0
KLoSA,female,44273,100.0
KLoSA,education_group,44273,100.0
KLoSA,married,44272,99.99774128701466
KLoSA,rural,44273,100.0
KLoSA,rural_category,44273,100.0
KLoSA,fair_or_poor_srh,44273,100.0
KLoSA,adl_score,44273,100.0
KLoSA,iadl_score,44273,100.0
KLoSA,chronic_count,44273,100.0
KLoSA,depressive_symptoms,28852,65.16838705305716
KLoSA,cognition_z,29176,65.90021006030764
KLoSA,frailty_index,0,0.0
KLoSA,internet_use,0,0.0
KLoSA,social_participation,43353,97.92198405348633
KLoSA,work,44273,100.0
KLoSA,healthy_aging_binary,43454,98.15011406500575
LASI,age,73408,100.0
LASI,female,73408,100.0
LASI,education_group,73408,100.0
LASI,married,73404,99.99455100261552
LASI,rural,73408,100.0
LASI,rural_category,73408,100.0
LASI,fair_or_poor_srh,72453,98.69905187445511
LASI,adl_score,73091,99.56816695727986
LASI,iadl_score,73091,99.56816695727986
LASI,chronic_count,73217,99.73981037489102
LASI,depressive_symptoms,71515,97.42126198779425
LASI,cognition_z,72693,99.02599171752398
LASI,frailty_index,0,0.0
LASI,internet_use,72338,98.54239319965127
LASI,social_participation,72339,98.54375544899739
LASI,work,73381,99.96321926765475
LASI,healthy_aging_binary,72377,98.59552092414997
MHAS,age,47586,62.19904321229708
MHAS,female,76506,100.0
MHAS,education_group,75898,99.20529108828066
MHAS,married,76049,99.40266122918464
MHAS,rural,62802,82.0876793976943
MHAS,rural_category,76506,100.0
MHAS,fair_or_poor_srh,70743,92.46725747000235
MHAS,adl_score,70626,92.3143282879774
MHAS,iadl_score,70582,92.25681645883984
MHAS,chronic_count,76067,99.42618879565002
MHAS,depressive_symptoms,70644,92.33785585444278
MHAS,cognition_z,70541,92.2032258907798
MHAS,frailty_index,0,0.0
MHAS,internet_use,0,0.0
MHAS,social_participation,0,0.0
MHAS,work,76204,99.60525971819204
MHAS,healthy_aging_binary,70679,92.3836039003477
SHARE,age,327248,99.99449988694212
SHARE,female,327266,100.0
SHARE,education_group,327266,100.0
SHARE,married,323913,98.97545116205167
SHARE,rural,311158,95.07800993687093
SHARE,rural_category,327266,100.0
SHARE,fair_or_poor_srh,326134,99.6541040010267
SHARE,adl_score,326114,99.64799276429571
SHARE,iadl_score,326114,99.64799276429571
SHARE,chronic_count,326472,99.7573839017802
SHARE,depressive_symptoms,0,0.0
SHARE,cognition_z,316144,96.60154125390356
SHARE,frailty_index,259718,79.35990906479744
SHARE,internet_use,201043,61.431068305292946
SHARE,social_participation,252251,77.07827883128708
SHARE,work,323106,98.72886275995674
SHARE,healthy_aging_binary,315767,96.48634444152464
