cohort,wave,person_waves,unique_people,mean_age
CHARLS,wave1,17708,17708,58.873463114754095
CHARLS,wave2,18612,18612,59.773544173997514
CHARLS,wave3,21097,21097,59.47569955817379
CHARLS,wave4,19816,19816,61.81939393939394
CHARLS,wave5,19395,19395,63.32730085073472
ELSA,第1轮,12099,12099,64.11670385982313
ELSA,第2轮,9432,9432,65.6890373197625
ELSA,第3轮,9766,9766,64.4594982078853
ELSA,第4轮,11050,11050,65.1310407239819
ELSA,第5轮,10274,10274,66.67753552657193
ELSA,第6轮,10601,10601,66.48108668993491
ELSA,第7轮,9666,9666,67.29929650320712
ELSA,第8轮,8445,8445,68.85139135583185
ELSA,第9轮,8736,8736,67.81593406593407
HRS,第10轮,22034,22034,65.65843696106018
HRS,第11轮,20554,20554,66.84927508027634
HRS,第12轮,18747,18747,67.90526484237478
HRS,第13轮,20912,20912,65.70208492731446
HRS,第14轮,17146,17146,66.99545083401377
HRS,第15轮,15723,15723,68.09330280480825
HRS,第5轮,19578,19578,67.12749003984064
HRS,第6轮,18165,18165,68.36696944673824
HRS,第7轮,20129,20129,66.56699289582195
HRS,第8轮,18469,18469,67.98895446423737
HRS,第9轮,17217,17217,69.20235813440205
KLoSA,第3轮,7920,7920,65.27260101010101
KLoSA,第4轮,7486,7486,66.80016029922523
KLoSA,第5轮,7949,7949,66.5380551012706
KLoSA,第6轮,7490,7490,68.09038718291055
KLoSA,第7轮,6940,6940,69.55734870317004
KLoSA,第8轮,6488,6488,70.96393341553637
LASI,wave1,73408,73408,57.921875
MHAS,第1轮,15186,15186,
MHAS,第2轮,13704,13704,
MHAS,第3轮,15723,15723,64.3308729956732
MHAS,第4轮,14779,14779,66.13000812127775
MHAS,第5轮,17114,17114,63.95080145080145
SHARE,第1轮,30416,30416,63.8151448393779
SHARE,第2轮,37132,37132,64.61584659718295
SHARE,第4轮,57982,57982,65.45246308817441
SHARE,第5轮,66038,66038,66.31005815009995
SHARE,第6轮,68055,68055,67.16359548580498
SHARE,第7轮,13948,13948,72.21551476914253
SHARE,第8轮,53695,53695,69.22277061759667
