cohort,variable,valid_n,total_n,valid_pct
CHARLS,age,96341,96628,99.70298464213272
CHARLS,female,96621,96628,99.99275572297884
CHARLS,education_group,96596,96628,99.96688330504617
CHARLS,married,95539,96628,98.87299747485201
CHARLS,rural,96628,96628,100.0
CHARLS,fair_or_poor_srh,90716,96628,93.88169060727739
CHARLS,adl_score,94603,96628,97.90433414745209
CHARLS,iadl_score,95923,96628,99.27039781429812
CHARLS,chronic_count,92159,96628,95.37504657035228
CHARLS,depression_score,87755,96628,90.81736142732956
CHARLS,depressive_symptoms,87755,96628,90.81736142732956
CHARLS,cognition_z,87360,96628,90.40857722399305
CHARLS,frailty_index,76851,96628,79.53284762180735
CHARLS,internet_use,57051,96628,59.04189261911661
CHARLS,social_participation,91820,96628,95.024216583185
CHARLS,work,94876,96628,98.18686095127707
CHARLS,healthy_aging_binary,87425,96628,90.47584551061803
ELSA,age,90068,90069,99.99888974008816
ELSA,female,90069,90069,100.0
ELSA,education_group,82367,90069,91.44877815896702
ELSA,married,90046,90069,99.97446402202755
ELSA,rural,0,90069,0.0
ELSA,fair_or_poor_srh,76732,90069,85.19246355571839
ELSA,adl_score,89840,90069,99.74575048018741
ELSA,iadl_score,58741,90069,65.21777748170847
ELSA,chronic_count,90051,90069,99.98001532158678
ELSA,depression_score,85606,90069,95.04491001343415
ELSA,depressive_symptoms,44675,90069,49.60086156169159
ELSA,cognition_z,47722,90069,52.98382351308442
ELSA,frailty_index,26846,90069,29.806037593400614
ELSA,internet_use,31225,90069,34.667865747371465
ELSA,social_participation,38888,90069,43.17578745184248
ELSA,work,90030,90069,99.95669986343802
ELSA,healthy_aging_binary,44952,90069,49.908403557272756
HRS,age,208674,208674,100.0
HRS,female,208674,208674,100.0
HRS,education_group,208632,208674,99.97987291181461
HRS,married,208643,208674,99.98514429205363
HRS,rural,202374,208674,96.98093677219012
HRS,fair_or_poor_srh,208497,208674,99.9151786997901
HRS,adl_score,208309,208674,99.82508601934117
HRS,iadl_score,192642,208674,92.31720290980189
HRS,chronic_count,208674,208674,100.0
HRS,depression_score,194374,208674,93.14720568925694
HRS,depressive_symptoms,194374,208674,93.14720568925694
HRS,cognition_z,162986,208674,78.10556178536856
HRS,frailty_index,208674,208674,100.0
HRS,internet_use,182776,208674,87.58925405177453
HRS,social_participation,46765,208674,22.410554261671315
HRS,work,207988,208674,99.67125755963848
HRS,healthy_aging_binary,194325,208674,93.12372408637395
KLoSA,age,44273,44273,100.0
KLoSA,female,44273,44273,100.0
KLoSA,education_group,44273,44273,100.0
KLoSA,married,44272,44273,99.99774128701466
KLoSA,rural,44273,44273,100.0
KLoSA,fair_or_poor_srh,44273,44273,100.0
KLoSA,adl_score,44273,44273,100.0
KLoSA,iadl_score,44273,44273,100.0
KLoSA,chronic_count,44273,44273,100.0
KLoSA,depression_score,28852,44273,65.16838705305716
KLoSA,depressive_symptoms,28852,44273,65.16838705305716
KLoSA,cognition_z,29176,44273,65.90021006030764
KLoSA,frailty_index,44265,44273,99.98193029611727
KLoSA,internet_use,0,44273,0.0
KLoSA,social_participation,43353,44273,97.92198405348633
KLoSA,work,44273,44273,100.0
KLoSA,healthy_aging_binary,43454,44273,98.15011406500575
LASI,age,73408,73408,100.0
LASI,female,73408,73408,100.0
LASI,education_group,73408,73408,100.0
LASI,married,73404,73408,99.99455100261552
LASI,rural,73408,73408,100.0
LASI,fair_or_poor_srh,72453,73408,98.69905187445511
LASI,adl_score,73091,73408,99.56816695727986
LASI,iadl_score,73091,73408,99.56816695727986
LASI,chronic_count,73217,73408,99.73981037489102
LASI,depression_score,71515,73408,97.42126198779425
LASI,depressive_symptoms,71515,73408,97.42126198779425
LASI,cognition_z,72693,73408,99.02599171752398
LASI,frailty_index,72818,73408,99.19627288578901
LASI,internet_use,72338,73408,98.54239319965127
LASI,social_participation,72339,73408,98.54375544899739
LASI,work,73381,73408,99.96321926765475
LASI,healthy_aging_binary,72377,73408,98.59552092414997
MHAS,age,47586,76506,62.19904321229708
MHAS,female,76506,76506,100.0
MHAS,education_group,75898,76506,99.20529108828066
MHAS,married,76049,76506,99.40266122918464
MHAS,rural,62802,76506,82.0876793976943
MHAS,fair_or_poor_srh,70743,76506,92.46725747000235
MHAS,adl_score,70626,76506,92.3143282879774
MHAS,iadl_score,70582,76506,92.25681645883984
MHAS,chronic_count,76067,76506,99.42618879565002
MHAS,depression_score,70644,76506,92.33785585444278
MHAS,depressive_symptoms,70644,76506,92.33785585444278
MHAS,cognition_z,70541,76506,92.2032258907798
MHAS,frailty_index,70677,76506,92.38098972629598
MHAS,internet_use,0,76506,0.0
MHAS,social_participation,44053,76506,57.58110474995425
MHAS,work,76204,76506,99.60525971819204
MHAS,healthy_aging_binary,70679,76506,92.3836039003477
SHARE,age,327248,327266,99.99449988694212
SHARE,female,327266,327266,100.0
SHARE,education_group,327266,327266,100.0
SHARE,married,323913,327266,98.97545116205167
SHARE,rural,311158,327266,95.07800993687093
SHARE,fair_or_poor_srh,326134,327266,99.6541040010267
SHARE,adl_score,326114,327266,99.64799276429571
SHARE,iadl_score,326114,327266,99.64799276429571
SHARE,chronic_count,326472,327266,99.7573839017802
SHARE,depression_score,327266,327266,100.0
SHARE,depressive_symptoms,327266,327266,100.0
SHARE,cognition_z,316144,327266,96.60154125390356
SHARE,frailty_index,259718,327266,79.35990906479744
SHARE,internet_use,201043,327266,61.431068305292946
SHARE,social_participation,252251,327266,77.07827883128708
SHARE,work,323106,327266,98.72886275995674
SHARE,healthy_aging_binary,326128,327266,99.6522706300074
