model,exposure,outcome,model_family,include_baseline,include_work,max_interval,n,people,events,coef,se,odds_ratio,ci_low,ci_high,p_value,status,analysis,beta
pooled_with_cohort_wave_fixed_effects,internet_use,next_healthy_aging_binary,logit,True,False,4,285723,111403,150861.0,0.45969062871550664,0.012314076981207327,1.583583993789524,1.545820809918723,1.6222697024749149,5.254509892036886e-305,ok,sensitivity_interval_le4,
CHARLS_specific,internet_use,next_healthy_aging_binary,logit,True,False,4,44777,20258,18575.0,0.3089662702979947,0.044672070661838655,1.3620164293203478,1.2478337049135704,1.4866474165858827,4.63531511117914e-12,ok,sensitivity_interval_le4,
ELSA_specific,internet_use,next_healthy_aging_binary,logit,True,False,4,20740,8736,14249.0,0.40430356722552935,0.044638946029658226,1.4982587001672967,1.372743418819669,1.6352503329115458,1.338501457851672e-19,ok,sensitivity_interval_le4,
HRS_specific,internet_use,next_healthy_aging_binary,logit,True,False,4,140643,29551,73957.0,0.42602912622260686,0.017660632778771716,1.5311653715472413,1.4790711449352307,1.5850944040477966,1.4309780648802768e-128,ok,sensitivity_interval_le4,
SHARE_specific,internet_use,next_healthy_aging_binary,logit,True,False,4,79563,52858,44080.0,0.49063813473898005,0.02041463520929515,1.6333581900636358,1.569293392737114,1.700038367200895,1.2376872950434684e-127,ok,sensitivity_interval_le4,
pooled_with_cohort_wave_fixed_effects,social_participation,next_healthy_aging_binary,logit,True,False,4,300654,135838,158244.0,0.2459657835052102,0.009954372296276263,1.2788558148297826,1.254146440128457,1.30405201720816,8.491830993096156e-135,ok,sensitivity_interval_le4,
CHARLS_specific,social_participation,next_healthy_aging_binary,logit,True,False,4,59002,20741,24398.0,0.0920123892592974,0.02003609192575294,1.0963784053130252,1.0541572674415742,1.1402905854399514,4.383199990591441e-06,ok,sensitivity_interval_le4,
ELSA_specific,social_participation,next_healthy_aging_binary,logit,True,False,4,27853,9804,19230.0,0.013518257120869381,0.043818931098372434,1.0136100418823266,0.9301895951760503,1.1045117278593537,0.7576998709665755,ok,sensitivity_interval_le4,
HRS_specific,social_participation,next_healthy_aging_binary,logit,True,False,4,36757,19040,18568.0,0.0881227151173721,0.029740052553724017,1.092122133701222,1.0302816506679262,1.1576744612959657,0.0030455876031795343,ok,sensitivity_interval_le4,
KLoSA_specific,social_participation,next_healthy_aging_binary,logit,True,False,4,33144,8366,13577.0,0.39954577499400257,0.03080872417154805,1.4911472274326398,1.4037688785251499,1.5839644886672224,1.843861582871518e-38,ok,sensitivity_interval_le4,
MHAS_specific,social_participation,next_healthy_aging_binary,logit,True,False,4,22857,13259,14854.0,0.1302917399469819,0.03360524757437717,1.1391606735256004,1.06654606928576,1.2167191624233624,0.00010569813290389717,ok,sensitivity_interval_le4,
SHARE_specific,social_participation,next_healthy_aging_binary,logit,True,False,4,121041,64628,67617.0,0.41188182754079,0.016674851261026597,1.5096560260222038,1.4611139424281157,1.5598108064849152,1.0490500602562921e-134,ok,sensitivity_interval_le4,
pooled_with_cohort_wave_fixed_effects,internet_use,next_healthy_aging_binary,logit,False,False,6,304000,118229,160861.0,0.7138100969628509,0.013616920086239855,2.0417557448935386,1.9879837488809873,2.0969821932157737,0.0,ok,sensitivity_no_baseline_healthy_ageing,
CHARLS_specific,internet_use,next_healthy_aging_binary,logit,False,False,6,47145,21206,19726.0,0.4287141751359191,0.04315269577338084,1.5352821498664702,1.4107689232967808,1.6707848044954088,2.9371206081798416e-23,ok,sensitivity_no_baseline_healthy_ageing,
ELSA_specific,internet_use,next_healthy_aging_binary,logit,False,False,6,20853,8778,14330.0,0.6093878091619508,0.048891375113322456,1.839305048347131,1.671231389908973,2.024281665185517,1.1716265190821708e-35,ok,sensitivity_no_baseline_healthy_ageing,
HRS_specific,internet_use,next_healthy_aging_binary,logit,False,False,6,142399,29809,74681.0,0.6793814661427064,0.021920095152841948,1.972657199532217,1.889699987394341,2.0592562061832944,6.585795468378204e-211,ok,sensitivity_no_baseline_healthy_ageing,
SHARE_specific,internet_use,next_healthy_aging_binary,logit,False,False,6,93603,58436,52124.0,0.7494726462503468,0.018945437875923704,2.115883903035104,2.038755531259495,2.1959301262360293,0.0,ok,sensitivity_no_baseline_healthy_ageing,
pooled_with_cohort_wave_fixed_effects,social_participation,next_healthy_aging_binary,logit,False,False,6,318554,141475,168155.0,0.3984220377313207,0.009719401015881682,1.4894725108759626,1.4613665801592557,1.518118992712544,0.0,ok,sensitivity_no_baseline_healthy_ageing,
CHARLS_specific,social_participation,next_healthy_aging_binary,logit,False,False,6,61593,21414,25667.0,0.18162089268698708,0.019744851332527062,1.19915949756097,1.1536386422403724,1.2464765377467824,3.6334437076807414e-20,ok,sensitivity_no_baseline_healthy_ageing,
ELSA_specific,social_participation,next_healthy_aging_binary,logit,False,False,6,27997,9840,19328.0,0.10251052351682324,0.046116491751184145,1.1079489613679896,1.0121959713372963,1.2127601134141912,0.02622521443390544,ok,sensitivity_no_baseline_healthy_ageing,
HRS_specific,social_participation,next_healthy_aging_binary,logit,False,False,6,37083,19205,18700.0,0.18166077545835677,0.02545142899818515,1.1992073243187726,1.1408527106770485,1.2605467763199145,9.501101088749443e-13,ok,sensitivity_no_baseline_healthy_ageing,
KLoSA_specific,social_participation,next_healthy_aging_binary,logit,False,False,6,33748,8443,13766.0,0.551138484638666,0.03361955453506945,1.7352274235051433,1.6245716121747993,1.8534204270955346,2.1321344197609904e-60,ok,sensitivity_no_baseline_healthy_ageing,
MHAS_specific,social_participation,next_healthy_aging_binary,logit,False,False,6,23097,13499,15027.0,0.12758330002669657,0.03216030089145887,1.1360794997523622,1.0666779618111266,1.2099965275050033,7.275085584539258e-05,ok,sensitivity_no_baseline_healthy_ageing,
SHARE_specific,social_participation,next_healthy_aging_binary,logit,False,False,6,135036,69074,75667.0,0.6604320139119854,0.015995205754291218,1.9356283721842693,1.8758866180793734,1.997272734447426,0.0,ok,sensitivity_no_baseline_healthy_ageing,
pooled_with_cohort_wave_fixed_effects,internet_use,next_healthy_aging_binary,logit,True,True,6,300329,116996,159363.0,0.42137081301987367,0.011946429052569284,1.5240493109690012,1.4887782424352003,1.5601559964134049,1.5955267805731174e-272,ok,sensitivity_add_work,
CHARLS_specific,internet_use,next_healthy_aging_binary,logit,True,True,6,45102,20507,18734.0,0.31812445824134905,0.044515597730183126,1.3745473243248707,1.2597003644489866,1.49986488861191,8.91095993576206e-13,ok,sensitivity_add_work,
ELSA_specific,internet_use,next_healthy_aging_binary,logit,True,True,6,20851,8777,14328.0,0.3778331729386755,0.04462393320745994,1.4591195019514624,1.336922410435464,1.592485625460952,2.516812637876158e-17,ok,sensitivity_add_work,
HRS_specific,internet_use,next_healthy_aging_binary,logit,True,True,6,141450,29635,74308.0,0.3881142346704722,0.017726451276452632,1.4741981792129022,1.4238584289404832,1.5263176643283245,2.9221618712361114e-106,ok,sensitivity_add_work,
SHARE_specific,internet_use,next_healthy_aging_binary,logit,True,True,6,92926,58077,51993.0,0.43382899389788476,0.01891609280777573,1.5431549566377991,1.4869892706149321,1.6014420999897525,2.1095932373004868e-116,ok,sensitivity_add_work,
pooled_with_cohort_wave_fixed_effects,social_participation,next_healthy_aging_binary,logit,True,True,6,315849,140754,166944.0,0.2510884236388298,0.009724251742007826,1.2854237411507772,1.2611561633867086,1.3101582835522418,5.172994495597087e-147,ok,sensitivity_add_work,
CHARLS_specific,social_participation,next_healthy_aging_binary,logit,True,True,6,59695,20893,24763.0,0.10385115880169486,0.019915413352760522,1.1094353129445023,1.0669636973410614,1.1535975560139589,1.842021149207767e-07,ok,sensitivity_add_work,
ELSA_specific,social_participation,next_healthy_aging_binary,logit,True,True,6,27993,9839,19324.0,0.024663391625024393,0.0438758036820023,1.0249700489481206,0.9405098251250351,1.1170150201259692,0.5740354294092207,ok,sensitivity_add_work,
HRS_specific,social_participation,next_healthy_aging_binary,logit,True,True,6,36922,19127,18615.0,0.09214184427130859,0.029760924717834206,1.096520346179934,1.0343885009999583,1.1623842187188143,0.0019610543675837046,ok,sensitivity_add_work,
KLoSA_specific,social_participation,next_healthy_aging_binary,logit,True,True,6,33197,8374,13599.0,0.3893121052262117,0.0308064980016186,1.4759651358865093,1.3894824909410841,1.567830538747575,1.3142986439527229e-36,ok,sensitivity_add_work,
MHAS_specific,social_participation,next_healthy_aging_binary,logit,True,True,6,23050,13469,14997.0,0.1363534238490534,0.03350883043104958,1.146086876460573,1.0732335666094588,1.223885619366889,4.7179123075383086e-05,ok,sensitivity_add_work,
SHARE_specific,social_participation,next_healthy_aging_binary,logit,True,True,6,134992,69052,75646.0,0.3915173004021802,0.015760768707804962,1.479223518448389,1.4342272375359841,1.525631476146006,3.2144156454630935e-136,ok,sensitivity_add_work,
pooled_with_cohort_wave_fixed_effects,internet_use,next_healthy_aging_ratio,ols,True,False,6,315321,120498,,0.0317123524975633,0.0008289043937197852,,0.030087699885872524,0.03333700510925408,0.0,ok,continuous_healthy_ageing_ratio,0.0317123524975633
CHARLS_specific,internet_use,next_healthy_aging_ratio,ols,True,False,6,51152,22341,,0.024289977767958562,0.0031974839845352755,,0.018022909158269422,0.030557046377647702,3.0403373979638566e-14,ok,continuous_healthy_ageing_ratio,0.024289977767958562
ELSA_specific,internet_use,next_healthy_aging_ratio,ols,True,False,6,21203,8938,,0.019725379386914644,0.0028919628827151975,,0.014057132136792858,0.02539362663703643,9.056129539988031e-12,ok,continuous_healthy_ageing_ratio,0.019725379386914644
HRS_specific,internet_use,next_healthy_aging_ratio,ols,True,False,6,149195,30679,,0.027720679656924686,0.0010982378837411364,,0.02556813340479206,0.029873225909057312,1.4201046470043525e-140,ok,continuous_healthy_ageing_ratio,0.027720679656924686
SHARE_specific,internet_use,next_healthy_aging_ratio,ols,True,False,6,93771,58540,,0.03381060795236361,0.0014091055686778157,,0.031048761037755092,0.03657245486697213,3.1833746439766042e-127,ok,continuous_healthy_ageing_ratio,0.03381060795236361
pooled_with_cohort_wave_fixed_effects,social_participation,next_healthy_aging_ratio,ols,True,False,6,326465,144299,,0.016855656058226715,0.0006830265688760082,,0.015516923983229739,0.01819438813322369,1.8475962305418797e-134,ok,continuous_healthy_ageing_ratio,0.016855656058226715
CHARLS_specific,social_participation,next_healthy_aging_ratio,ols,True,False,6,65818,22498,,0.008587214087018246,0.0015811269834772083,,0.005488205199402917,0.011686222974633575,5.601660607412445e-08,ok,continuous_healthy_ageing_ratio,0.008587214087018246
ELSA_specific,social_participation,next_healthy_aging_ratio,ols,True,False,6,28481,10019,,0.0020900789935494233,0.0024747013082820853,,-0.0027603355706834636,0.006940493557782311,0.3983463359066106,ok,continuous_healthy_ageing_ratio,0.0020900789935494233
HRS_specific,social_participation,next_healthy_aging_ratio,ols,True,False,6,38358,19907,,0.008042491491997648,0.0018397902112554515,,0.004436502677936964,0.011648480306058332,1.2344238072170546e-05,ok,continuous_healthy_ageing_ratio,0.008042491491997648
KLoSA_specific,social_participation,next_healthy_aging_ratio,ols,True,False,6,34113,8492,,0.025767438153862666,0.002030270375298908,,0.021788108218276807,0.029746768089448525,6.580283441483991e-37,ok,continuous_healthy_ageing_ratio,0.025767438153862666
MHAS_specific,social_participation,next_healthy_aging_ratio,ols,True,False,6,24407,14165,,0.01296703585658167,0.0025776332564188984,,0.007914874674000628,0.018019197039162712,4.889532230139484e-07,ok,continuous_healthy_ageing_ratio,0.01296703585658167
SHARE_specific,social_participation,next_healthy_aging_ratio,ols,True,False,6,135288,69218,,0.026305598862155877,0.0010535978242465882,,0.024240547126632563,0.02837065059767919,1.3821680245411095e-137,ok,continuous_healthy_ageing_ratio,0.026305598862155877
