analysis,term,odds_ratio,ci_low,ci_high,e_value_point,e_value_ci,transition,exposure,definition
joint_exposure,both,1.6455009868152042,1.3553373649767866,1.9977856197126138,2.676118525378665,2.049312874577401,,,
joint_exposure,internet_only,1.4949255012839795,1.4435443036202362,1.548135549968602,2.3550863892027327,2.243716693105275,,,
joint_exposure,social_only,1.1489976988791122,1.0066895485150724,1.3114228850164016,1.5627585152336612,1.0887523206739993,,,
transition,both,1.6760070121484825,1.3653153986837734,2.057399709604746,2.740428212906153,2.0715524263163223,gain_healthy,,
transition,internet_only,1.4366678565746787,1.3318897251823345,1.549688755074914,2.2287200477465756,1.9967510000840543,gain_healthy,,
transition,social_only,1.133703291484407,0.9753477018885267,1.3177691920880479,1.5230358763500604,1.0,gain_healthy,,
transition,both,1.6534949034752358,1.304157447876915,2.0964074546899463,2.692990210027095,1.9339742474114407,maintain_healthy,,
transition,internet_only,1.5444183273972651,1.4745885092431208,1.6175549687586133,2.4613750562581753,2.3111426093159904,maintain_healthy,,
transition,social_only,1.1733500348450818,1.0212423332014213,1.3481132337660506,1.6243492248952114,1.1685297051016,maintain_healthy,,
exposure_history,adopted,1.2429664153964528,1.147942733073154,1.3458559083931696,1.7925108580096545,1.5600468283480111,,internet_use,
exposure_history,persistent,1.5127582250344396,1.3151701067967092,1.74003152564285,2.393484756016054,1.9589886394710634,,internet_use,
exposure_history,stopped,1.0859988782088938,0.9105859756268663,1.2952028639130502,1.3916043187070661,1.0,,internet_use,
exposure_history,adopted,1.194284189789498,1.0312868573246914,1.3830436370354084,1.6759796705568182,1.2109134833185762,,social_participation,
exposure_history,persistent,1.3238048743795783,1.0367018410203013,1.6904178965346444,1.978521966757311,1.2317630266892619,,social_participation,
exposure_history,stopped,1.1767040672693627,1.0079725794999186,1.3736806834717796,1.6326957280033043,1.097617108188518,,social_participation,
alternative_definition,,1.5782762236601804,1.442230056520239,1.727155682902025,2.5336188922932,2.240852294759404,,internet_use,lenient_60pct_threshold
alternative_definition,,1.2770882018095453,1.0661984130313418,1.5296911487273004,1.8719546350461103,1.3318685899786422,,social_participation,lenient_60pct_threshold
alternative_definition,,1.3417646889791595,1.3025914964186378,1.3821159477404839,2.0189410261411878,1.930407639985772,,internet_use,strict_all_available_components
alternative_definition,,1.149493240631971,1.04159128804314,1.2685731202120651,1.5640308983020783,1.2497285583342326,,social_participation,strict_all_available_components
alternative_definition,,1.4865123571934271,1.410273250073041,1.5668729361308618,2.336927920841772,2.170929144547367,,internet_use,without_cognition_component
alternative_definition,,1.2013520258743644,1.0415442247226951,1.385679701173222,1.6931799065379916,1.2495590014346032,,social_participation,without_cognition_component
ipw_attrition,,1.508673714015304,1.4303795538508222,1.5912534328619963,2.3847003467984784,2.2149852600648763,,internet_use,
ipw_attrition,,1.2140256569586287,1.0528024875150999,1.3999380826241554,1.7237634707366545,1.2885790559074703,,social_participation,
