analysis,domain,cohort,outcome,exposure,n,people,term,term_raw,events,coef,se,odds_ratio,ci_low,ci_high,p_value,covariance,weighted,status
domain_outcome,good_self_rated_health,CHARLS,next_good_srh,internet_use,46839,21097,internet_use,internet_use,11184,0.1719304704773879,0.04417827347819122,1.1875952574119069,1.089088441835793,1.2950119028440699,9.952678863327676e-05,clustered_by_person,False,ok
domain_outcome,good_self_rated_health,ELSA,next_good_srh,internet_use,20843,8776,internet_use,internet_use,15564,0.3141511284393869,0.04571735510524998,1.3690966303503278,1.2517531797058725,1.4974402411161125,6.348818673776111e-12,clustered_by_person,False,ok
domain_outcome,good_self_rated_health,HRS,next_good_srh,internet_use,148961,30662,internet_use,internet_use,104998,0.4806565823038278,0.017994511886211397,1.6171358364683912,1.561094751631788,1.6751887166725599,3.4803838110272404e-157,clustered_by_person,False,ok
domain_outcome,good_self_rated_health,SHARE,next_good_srh,internet_use,93580,58424,internet_use,internet_use,57243,0.4760523347988566,0.01831461358886665,1.6097072574595737,1.5529489816791242,1.6685399747751766,5.937162498336383e-149,clustered_by_person,False,ok
domain_outcome,no_adl_limitation,CHARLS,next_no_adl_limitation,internet_use,49781,21923,internet_use,internet_use,39554,0.43159749289893445,0.0673837179668881,1.539715244098875,1.3492183242551943,1.757108534839358,1.502994934342011e-10,clustered_by_person,False,ok
domain_outcome,no_adl_limitation,ELSA,next_no_adl_limitation,internet_use,21194,8937,internet_use,internet_use,17642,0.3360761145503804,0.05199916014641689,1.3994455389252192,1.2638438613270633,1.5495963357065998,1.0257498533821832e-10,clustered_by_person,False,ok
domain_outcome,no_adl_limitation,HRS,next_no_adl_limitation,internet_use,149034,30657,internet_use,internet_use,120138,0.49294769979596337,0.02081142519644828,1.6371348966609636,1.5716991674876704,1.7052949605803804,4.979651967702493e-124,clustered_by_person,False,ok
domain_outcome,no_adl_limitation,SHARE,next_no_adl_limitation,internet_use,93590,58430,internet_use,internet_use,81700,0.4172783138052409,0.027603047517060667,1.5178248857759116,1.4378893952681344,1.6022041691538125,1.2490463390185937e-51,clustered_by_person,False,ok
domain_outcome,no_multimorbidity,CHARLS,next_no_multimorbidity,internet_use,47966,21767,internet_use,internet_use,28870,0.2085587087088155,0.057736064090067395,1.2319012512698289,1.1000944316698589,1.3795003857774273,0.00030351902994329186,clustered_by_person,False,ok
domain_outcome,no_multimorbidity,ELSA,next_no_multimorbidity,internet_use,21203,8938,internet_use,internet_use,11219,0.20266815518652595,0.0811585946164656,1.2246660017484112,1.0445616353859417,1.4358241438613577,0.012518306325038647,clustered_by_person,False,ok
domain_outcome,no_multimorbidity,HRS,next_no_multimorbidity,internet_use,149195,30679,internet_use,internet_use,52359,0.15768740424214547,0.028817246044524743,1.1708001503384005,1.1065041178318213,1.2388322555169797,4.4503417628506105e-08,clustered_by_person,False,ok
domain_outcome,no_multimorbidity,SHARE,next_no_multimorbidity,internet_use,93702,58496,internet_use,internet_use,41228,0.32056536085195464,0.026572905932125346,1.3779065585912003,1.3079780417288127,1.4515736683921283,1.644008411285784e-33,clustered_by_person,False,ok
domain_outcome,not_depressive,CHARLS,next_not_depressive,internet_use,45779,20675,internet_use,internet_use,29334,0.37304655163905626,0.04748936461302735,1.45215193831224,1.3230866750360941,1.5938073383487663,3.98592279041698e-15,clustered_by_person,False,ok
domain_outcome,not_depressive,ELSA,next_not_depressive,internet_use,20721,8739,internet_use,internet_use,16961,0.32221628901850957,0.049889515865096344,1.3801832621595749,1.2516126476199927,1.5219611600823342,1.0567795637550014e-10,clustered_by_person,False,ok
domain_outcome,not_depressive,HRS,next_not_depressive,internet_use,141558,29647,internet_use,internet_use,110453,0.34616690105097186,0.018926650291492954,1.4136385338866426,1.3621586260571839,1.4670640160856596,9.956289632907565e-75,clustered_by_person,False,ok
domain_outcome,not_depressive,SHARE,next_not_depressive,internet_use,93771,58540,internet_use,internet_use,69023,0.2941441059444339,0.01922091979503437,1.341977276636398,1.2923614200810394,1.3934979666102347,7.264113789878376e-53,clustered_by_person,False,ok
domain_outcome,cognition_not_low,CHARLS,next_cognition_not_low,internet_use,45554,20607,internet_use,internet_use,37393,1.4426758970923756,0.15649627327019563,4.232005089137009,3.1141093907343804,5.751200368159827,3.0101605492505707e-20,clustered_by_person,False,ok
domain_outcome,cognition_not_low,ELSA,next_cognition_not_low,internet_use,21203,8938,internet_use,internet_use,19233,0.6207309983105357,0.061380143601310985,1.86028741189241,1.6494236384380245,2.098108196219714,4.8431177267969055e-24,clustered_by_person,False,ok
domain_outcome,cognition_not_low,HRS,next_cognition_not_low,internet_use,111150,25691,internet_use,internet_use,94245,0.9526430427740042,0.028957832858897505,2.592552839972481,2.4495043313911706,2.7439552328662615,2.379029368063002e-237,clustered_by_person,False,ok
domain_outcome,cognition_not_low,SHARE,next_cognition_not_low,internet_use,88769,55376,internet_use,internet_use,74867,0.8889947705993579,0.02795826397788091,2.432683017290261,2.302963042591208,2.5697097839459015,7.074348692815642e-222,clustered_by_person,False,ok
domain_outcome,good_self_rated_health,CHARLS,next_good_srh,social_participation,61767,21475,social_participation,social_participation,14641,0.04065200492393906,0.02092279337149147,1.0414896092198924,0.9996433935150287,1.0850875553720114,0.052021832856519824,clustered_by_person,False,ok
domain_outcome,good_self_rated_health,ELSA,next_good_srh,social_participation,27981,9838,social_participation,social_participation,20851,0.02182991958248318,0.04419449351994076,1.0220699356053344,0.9372630612785163,1.114550435651781,0.6213407004283737,clustered_by_person,False,ok
domain_outcome,good_self_rated_health,HRS,next_good_srh,social_participation,38316,19894,social_participation,social_participation,27968,0.13039550700032387,0.030071671381300864,1.1392788870052013,1.0740698498680863,1.2084469017869008,1.4499498952264053e-05,clustered_by_person,False,ok
domain_outcome,good_self_rated_health,KLoSA,next_good_srh,social_participation,34113,8492,social_participation,social_participation,13834,0.33968294847073427,0.02865344788541857,1.404502220387846,1.3277983446492259,1.4856371037241443,2.0303496809268752e-32,clustered_by_person,False,ok
