analysis,cohort,outcome,exposure,n,people,term,term_raw,events,coef,se,odds_ratio,ci_low,ci_high,p_value,covariance,weighted,status
exposure_history,CHARLS,next_healthy_aging_binary,internet_use,15110,14631,adopted,"C(exposure_history, Treatment(reference=""never""))[T.adopted]",5959.0,0.13331401408795937,0.07134028012406307,1.1426087372439302,0.9935082282359066,1.3140854693718425,0.06166371986999713,clustered_by_person,False,ok
exposure_history,CHARLS,next_healthy_aging_binary,internet_use,15110,14631,stopped,"C(exposure_history, Treatment(reference=""never""))[T.stopped]",5959.0,0.09492248511143214,0.13385217956303633,1.0995736184960818,0.8458376957030045,1.4294257026316073,0.47822577938945576,clustered_by_person,False,ok
exposure_history,CHARLS,next_healthy_aging_binary,internet_use,15110,14631,persistent,"C(exposure_history, Treatment(reference=""never""))[T.persistent]",5959.0,0.23112058796144833,0.10044030523101474,1.2600111724670908,1.0348511394021116,1.5341608993725897,0.021387441329155075,clustered_by_person,False,ok
exposure_history,ELSA,next_healthy_aging_binary,internet_use,11813,6876,adopted,"C(exposure_history, Treatment(reference=""never""))[T.adopted]",8102.0,0.07827995251577786,0.12410439376248997,1.0814253640478313,0.8479236698094621,1.3792288853886812,0.5281981719814217,clustered_by_person,False,ok
exposure_history,ELSA,next_healthy_aging_binary,internet_use,11813,6876,stopped,"C(exposure_history, Treatment(reference=""never""))[T.stopped]",8102.0,-0.35027917942970427,0.14845465353688692,0.7044913827592524,0.5266335621078748,0.9424164050531599,0.018299439867648763,clustered_by_person,False,ok
exposure_history,ELSA,next_healthy_aging_binary,internet_use,11813,6876,persistent,"C(exposure_history, Treatment(reference=""never""))[T.persistent]",8102.0,0.25647376030746166,0.06487981663851079,1.2923648540983463,1.138042088561012,1.4676143640878165,7.71583164401654e-05,clustered_by_person,False,ok
exposure_history,HRS,next_healthy_aging_binary,internet_use,111899,26191,adopted,"C(exposure_history, Treatment(reference=""never""))[T.adopted]",56836.0,0.2763871244056664,0.037573677790915416,1.318358133861004,1.2247573171669413,1.4191122965796175,1.8968622753378345e-13,clustered_by_person,False,ok
exposure_history,HRS,next_healthy_aging_binary,internet_use,111899,26191,stopped,"C(exposure_history, Treatment(reference=""never""))[T.stopped]",56836.0,0.198251123102464,0.03799827560487349,1.2192685418785822,1.1317606335009927,1.3135425753553744,1.8147996596609416e-07,clustered_by_person,False,ok
exposure_history,HRS,next_healthy_aging_binary,internet_use,111899,26191,persistent,"C(exposure_history, Treatment(reference=""never""))[T.persistent]",56836.0,0.47157244509176743,0.02121427143328225,1.6025120753302202,1.5372459527813243,1.670549170698957,1.8002512975724823e-109,clustered_by_person,False,ok
exposure_history,SHARE,next_healthy_aging_binary,internet_use,35402,29411,adopted,"C(exposure_history, Treatment(reference=""never""))[T.adopted]",19009.0,0.24075627726216126,0.060544533532296156,1.2722109307888427,1.1298546448100435,1.4325034285190965,6.993243669490229e-05,clustered_by_person,False,ok
exposure_history,SHARE,next_healthy_aging_binary,internet_use,35402,29411,stopped,"C(exposure_history, Treatment(reference=""never""))[T.stopped]",19009.0,0.21043845889999746,0.07183085850624463,1.23421909568416,1.0721328435872386,1.4208097301213558,0.003393563867747331,clustered_by_person,False,ok
exposure_history,SHARE,next_healthy_aging_binary,internet_use,35402,29411,persistent,"C(exposure_history, Treatment(reference=""never""))[T.persistent]",19009.0,0.610531618207916,0.03264786107724144,1.841410065739188,1.7272694525886136,1.9630932655723814,4.903446588789304e-78,clustered_by_person,False,ok
exposure_history,CHARLS,next_healthy_aging_binary,social_participation,39829,18086,adopted,"C(exposure_history, Treatment(reference=""never""))[T.adopted]",15262.0,0.05493962217623052,0.0372022144392573,1.056476824978217,0.9821838991751572,1.1363893082073497,0.1397336395922801,clustered_by_person,False,ok
