analysis,transition,cohort,outcome,n,people,term,term_raw,events,coef,se,odds_ratio,ci_low,ci_high,p_value,covariance,weighted,status
transition,maintain_healthy,CHARLS,next_healthy_aging_binary,19415,11801,internet_only,"C(joint_exposure, Treatment(reference=""neither""))[T.internet_only]",13515,0.3467572434827042,0.11288496584017935,1.4144733110742815,1.133718241827045,1.7647548340733716,0.0021278988106522524,clustered_by_person,False,ok
transition,maintain_healthy,CHARLS,next_healthy_aging_binary,19415,11801,social_only,"C(joint_exposure, Treatment(reference=""neither""))[T.social_only]",13515,0.11024464677404985,0.03408145347616632,1.1165511976962381,1.0444025484622723,1.1936839668884998,0.0012175347195738592,clustered_by_person,False,ok
transition,maintain_healthy,CHARLS,next_healthy_aging_binary,19415,11801,both,"C(joint_exposure, Treatment(reference=""neither""))[T.both]",13515,0.4992163936187282,0.07588727575038487,1.647429828248825,1.4197450782642358,1.911628418759577,4.755569559636701e-11,clustered_by_person,False,ok
transition,maintain_healthy,ELSA,next_healthy_aging_binary,14658,6783,internet_only,"C(joint_exposure, Treatment(reference=""neither""))[T.internet_only]",12688,0.406434303935969,0.07011484361758247,1.5014544984747777,1.3086671943988395,1.7226424110262282,6.763487490247069e-09,clustered_by_person,False,ok
transition,maintain_healthy,ELSA,next_healthy_aging_binary,14658,6783,social_only,"C(joint_exposure, Treatment(reference=""neither""))[T.social_only]",12688,0.12989997477990048,0.11769242796995293,1.1387144774617486,0.9041344660316973,1.4341568758816947,0.2697128172240423,clustered_by_person,False,ok
transition,maintain_healthy,ELSA,next_healthy_aging_binary,14658,6783,both,"C(joint_exposure, Treatment(reference=""neither""))[T.both]",12688,0.2613543779918325,0.09396226232077513,1.2986878102744945,1.0802455148255787,1.5613025052252918,0.005411126623763359,clustered_by_person,False,ok
transition,maintain_healthy,HRS,next_healthy_aging_binary,21941,12957,internet_only,"C(joint_exposure, Treatment(reference=""neither""))[T.internet_only]",16509,0.36920229665961085,0.060385462804205654,1.4465802124216878,1.28511317649652,1.628334647283606,9.710805643764122e-10,clustered_by_person,False,ok
transition,maintain_healthy,HRS,next_healthy_aging_binary,21941,12957,social_only,"C(joint_exposure, Treatment(reference=""neither""))[T.social_only]",16509,0.05379384806527811,0.05819809007230428,1.0552670343890551,0.9415061408676215,1.1827735003853204,0.3553180384391328,clustered_by_person,False,ok
transition,maintain_healthy,HRS,next_healthy_aging_binary,21941,12957,both,"C(joint_exposure, Treatment(reference=""neither""))[T.both]",16509,0.44114369352560767,0.05856979949036382,1.5544840555891624,1.3858960341584097,1.7435800518386722,4.999534417011651e-14,clustered_by_person,False,ok
transition,maintain_healthy,SHARE,next_healthy_aging_binary,56954,38414,internet_only,"C(joint_exposure, Treatment(reference=""neither""))[T.internet_only]",45038,0.4593442354887535,0.02841677796340648,1.5830355460148617,1.4972758405391227,1.673707323724824,8.970030552481034e-59,clustered_by_person,False,ok
transition,maintain_healthy,SHARE,next_healthy_aging_binary,56954,38414,social_only,"C(joint_exposure, Treatment(reference=""neither""))[T.social_only]",45038,0.3245152808962372,0.03963502757362808,1.3833599424509904,1.2799623031732215,1.4951102275697428,2.665130853729521e-16,clustered_by_person,False,ok
transition,maintain_healthy,SHARE,next_healthy_aging_binary,56954,38414,both,"C(joint_exposure, Treatment(reference=""neither""))[T.both]",45038,0.7770330565046696,0.03216221452091587,2.1750095525427255,2.0421335436136334,2.316531437645851,5.888675146093123e-129,clustered_by_person,False,ok
transition,gain_healthy,CHARLS,next_healthy_aging_binary,26130,14606,internet_only,"C(joint_exposure, Treatment(reference=""neither""))[T.internet_only]",5395,0.2704027397478356,0.11127480051406442,1.310492131737734,1.053696155178918,1.629871779360244,0.015096960590164972,clustered_by_person,False,ok
transition,gain_healthy,CHARLS,next_healthy_aging_binary,26130,14606,social_only,"C(joint_exposure, Treatment(reference=""neither""))[T.social_only]",5395,0.02717158522833623,0.033443123514679755,1.0275440990269966,0.9623501272809661,1.0971546067421456,0.416521125001182,clustered_by_person,False,ok
transition,gain_healthy,CHARLS,next_healthy_aging_binary,26130,14606,both,"C(joint_exposure, Treatment(reference=""neither""))[T.both]",5395,0.20694824149879337,0.07991397142080642,1.229918911373825,1.0516042523008668,1.4384693911661615,0.009607695986396861,clustered_by_person,False,ok
transition,gain_healthy,ELSA,next_healthy_aging_binary,5422,3277,internet_only,"C(joint_exposure, Treatment(reference=""neither""))[T.internet_only]",1235,0.3767423469900454,0.08698734016202589,1.4575287243250772,1.2290569405062688,1.728471572161348,1.4843231199270952e-05,clustered_by_person,False,ok
transition,gain_healthy,ELSA,next_healthy_aging_binary,5422,3277,social_only,"C(joint_exposure, Treatment(reference=""neither""))[T.social_only]",1235,-0.05356602071941426,0.1495789581766256,0.9478433616374311,0.7069885709707336,1.2707518552479349,0.7202594948481129,clustered_by_person,False,ok
transition,gain_healthy,ELSA,next_healthy_aging_binary,5422,3277,both,"C(joint_exposure, Treatment(reference=""neither""))[T.both]",1235,0.6208316418077215,0.1304321113005421,1.860474647145161,1.4407801009302703,2.402424846397453,1.937784225483862e-06,clustered_by_person,False,ok
transition,gain_healthy,HRS,next_healthy_aging_binary,14962,10302,internet_only,"C(joint_exposure, Treatment(reference=""neither""))[T.internet_only]",2099,0.4884504687605425,0.08050272287592485,1.6297888536021377,1.391893613521621,1.9083439147373524,1.299146321307118e-09,clustered_by_person,False,ok
